,Domain_x,Topic_x,Variable Name,Variable Label,cluster_labels,age,min,max,Risk,gender,male,race,American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Two or more races,Native Hawaiian and other Pacific Islander,White,Some other race,total
153,4. Physical infrastructure,Transportation,ACS_PCT_PUB_COMMT_15MIN,Percentage of workers who use public transportation with < 15-minute commute time (ages 16 and over),58,No,,,Transportation Risk,No,,No,,,,,,,,,
154,4. Physical infrastructure,Transportation,ACS_PCT_PUB_COMMT_29MIN,Percentage of workers who use public transportation with 15- to 29-minute commute time (ages 16 and over),58,No,,,Transportation Risk,No,,No,,,,,,,,,
155,4. Physical infrastructure,Transportation,ACS_PCT_PUB_COMMT_59MIN,Percentage of workers who use public transportation with 30- to 59-minute commute time (ages 16 and over),58,No,,,Transportation Risk,No,,No,,,,,,,,,
156,4. Physical infrastructure,Transportation,ACS_PCT_PUB_COMMT_60MINUP,Percentage of workers who use public transportation with at least 60-minute commute time (ages 16 and over),58,No,,,Transportation Risk,No,,No,,,,,,,,,
157,5. Healthcare context,Health insurance status,ACS_PCT_PVT_EMPL_DRCT,Percentage of population with employer-based and direct-purchase coverage,13,No,,,financial Risk,No,,No,,,,,,,,,
158,5. Healthcare context,Health insurance status,ACS_PCT_PVT_EMPL_DRCT_BELOW64,Percentage of population with employer-based and direct-purchase coverage (ages 64 and below),13,No,,,financial Risk,No,,No,,,,,,,,,
159,4. Physical infrastructure,Housing,ACS_PCT_RENTER_HU,Percentage of occupied housing units: rented,55,No,,,Housing Challenges,No,,No,,,,,,,,,
160,4. Physical infrastructure,Housing,ACS_PCT_RENTER_HU,Percentage of occupied housing units: rented,55,No,,,financial Risk,No,,No,,,,,,,,,
161,4. Physical infrastructure,Housing,ACS_PCT_RENTER_HU_CHILD,Percentage of renter-occupied housing units with children,55,No,,,Housing Challenges,No,,No,,,,,,,,,
162,4. Physical infrastructure,Housing,ACS_PCT_RENTER_HU_CHILD,Percentage of renter-occupied housing units with children,55,No,,,financial Risk,No,,No,,,,,,,,,
163,4. Physical infrastructure,Housing,ACS_PCT_RENTER_HU_COST_30PCT,Percentage of renter-occupied housing units with rent equal to 30 percent or more of household income,55,No,,,Housing Challenges,No,,No,,,,,,,,,
164,4. Physical infrastructure,Housing,ACS_PCT_RENTER_HU_COST_30PCT,Percentage of renter-occupied housing units with rent equal to 30 percent or more of household income,55,No,,,financial Risk,No,,No,,,,,,,,,
165,4. Physical infrastructure,Housing,ACS_PCT_RENTER_HU_COST_50PCT,Percentage of renter-occupied housing units with rent equal to 50 percent or more of household income,55,No,,,Housing Challenges,No,,No,,,,,,,,,
166,4. Physical infrastructure,Housing,ACS_PCT_RENTER_HU_COST_50PCT,Percentage of renter-occupied housing units with rent equal to 50 percent or more of household income,55,No,,,financial Risk,No,,No,,,,,,,,,
167,5. Healthcare context,Health insurance status,ACS_PCT_SELF_MDCR_ABOVE35,Percentage of population with direct-purchase and Medicare health insurance (ages 35 and over),43,No,,,financial Risk,No,,No,,,,,,,,,
168,4. Physical infrastructure,Transportation,ACS_PCT_TAXICAB_2WORK,"Percentage of workers taking taxicab, motorcycle, bicycle, or other means to work (ages 16 and over)",75,No,,,Transportation Risk,No,,No,,,,,,,,,
169,5. Healthcare context,Health insurance status,ACS_PCT_TRICARE_VA,Percentage of population with TRICARE/military or VA health insurance coverage only,153,No,,,financial Risk,No,,No,,,,,,,,,
170,5. Healthcare context,Health insurance status,ACS_PCT_UNINSURED,Percentage of population with no health insurance coverage,43,No,,,financial Risk,No,,No,,,,,,,,,
171,4. Physical infrastructure,Housing,ACS_PCT_VACANT_HU,Percentage of housing units vacant,63,No,,,Transportation Risk,No,,No,,,,,,,,,
172,4. Physical infrastructure,Housing,ACS_PCT_VACANT_HU,Percentage of housing units vacant,63,No,,,Housing Challenges,No,,No,,,,,,,,,
173,2. Economic context,Poverty,ACS_PCT_VET_POV_18_64,Percentage of civilian veterans with income below the poverty level in past 12 months (between ages 18 and 64),31,No,,,financial Risk,No,,No,,,,,,,,,
174,4. Physical infrastructure,Transportation,ACS_PCT_WALK_2WORK,Percentage of workers walking to work (ages 16 and over),75,No,,,Transportation Risk,No,,No,,,,,,,,,
175,4. Physical infrastructure,Transportation,ACS_PCT_WORK_NO_CAR,Percentage of workers in households with no vehicle available (ages 16 and over),75,No,,,Transportation Risk,No,,No,,,,,,,,,
176,2. Economic context,Income,ACS_PER_CAPITA_INC,"Per capita income (dollars, inflation-adjusted to data file year)",47,No,,,financial Risk,No,,No,,,,,,,,,
177,1. Social context,Living conditions,ACS_TOT_GRANDCHILDREN_GP,Total grandchildren under 18 living with grandparent householder,37,No,,,financial Risk,No,,No,,,,,,,,,
178,1. Social context,Demographics,ACS_TOT_HH,Total number of households,46,No,,,Housing Challenges,No,,No,,,,,,,,,
179,4. Physical infrastructure,Housing,ACS_TOT_HU,Total housing units,63,No,,,Transportation Risk,No,,No,,,,,,,,,
180,4. Physical infrastructure,Housing,ACS_TOT_HU,Total housing units,63,No,,,Housing Challenges,No,,No,,,,,,,,,
181,2. Economic context,Employment,ACS_TOT_WORKER_HH,Total workers in households (ages 16 and over),75,No,,,Transportation Risk,No,,No,,,,,,,,,
182,2. Economic context,Employment,ACS_TOT_WORKER_NWFH,Total workers who do not work from home (ages 16 and over),75,No,,,Transportation Risk,No,,No,,,,,,,,,
183,5. Healthcare context,Characteristics of health care facilities,AHRF_CARDIAC_IC_HOSP_RATE,"Total number of short-term general hospitals with cardiac intensive care per 1,000 population",36,No,,,Transportation Risk,No,,No,,,,,,,,,
184,4. Physical Infrastructure,Environment,AHRF_DAYS_AIR_QLT,Total number of days air quality is measured,105,No,,,Climate Risk,No,,No,,,,,,,,,
185,5. Healthcare context,Characteristics of health care facilities,AHRF_HOSPS_RATE,"Total number of hospitals per 1,000 population",9,No,,,Social Environmental Risk,No,,No,,,,,,,,,
186,5. Healthcare context,Characteristics of health care facilities,AHRF_HOSPS_RATE,"Total number of hospitals per 1,000 population",9,No,,,Transportation Risk,No,,No,,,,,,,,,
187,5. Healthcare context,Characteristics of health care facilities,AHRF_HOSP_MOBILE_RATE,"Total number of hospitals with mobile health services per 1,000 population",9,No,,,Social Environmental Risk,No,,No,,,,,,,,,
188,5. Healthcare context,Characteristics of health care facilities,AHRF_HOSP_MOBILE_RATE,"Total number of hospitals with mobile health services per 1,000 population",9,No,,,Transportation Risk,No,,No,,,,,,,,,
189,5. Healthcare context,Characteristics of health care facilities,AHRF_HOSP_TEACHING,Total number of teaching hospitals,9,No,,,Social Environmental Risk,No,,No,,,,,,,,,
190,5. Healthcare context,Characteristics of health care facilities,AHRF_HOSP_TEACHING,Total number of teaching hospitals,9,No,,,Transportation Risk,No,,No,,,,,,,,,
191,5. Healthcare context,Utilization and costs,AHRF_IP_DAY_NH_HOSP_RATE,"Total number of hospital inpatient days including nursing homes per 1,000 population",3,No,,,financial Risk,No,,No,,,,,,,,,
192,5. Healthcare context,Utilization and costs,AHRF_IP_DAY_STNG_LT_RATE,"Total number of inpatient days in short-term, non-general, and long-term hospitals per 1,000 population",3,No,,,financial Risk,No,,No,,,,,,,,,
193,5. Healthcare context,Utilization and costs,AHRF_IP_DAY_ST_G_HOSP_RATE,"Total number of inpatient days in short-term general hospitals per 1,000 population",3,No,,,financial Risk,No,,No,,,,,,,,,
194,5. Healthcare context,Characteristics of health care facilities,AHRF_LT_HOSP_RATE,"Total number of long-term hospitals per 1,000 population",36,No,,,Transportation Risk,No,,No,,,,,,,,,
195,5. Healthcare context,Health insurance status,AHRF_MARKET_ENROL_150,"Total number of Marketplace enrollees, household income 100% to 150% of FPL",118,No,,,financial Risk,No,,No,,,,,,,,,
196,5. Healthcare context,Health insurance status,AHRF_MARKET_ENROL_200,"Total number of Marketplace enrollees, household income >150% to 200% of FPL",118,No,,,financial Risk,No,,No,,,,,,,,,
197,5. Healthcare context,Health insurance status,AHRF_MARKET_ENROL_250,"Total number of Marketplace enrollees, household income >200% to 250% of FPL",118,No,,,financial Risk,No,,No,,,,,,,,,
198,5. Healthcare context,Health insurance status,AHRF_MARKET_ENROL_300,"Total number of Marketplace enrollees, household income >250% to 300% of FPL",118,No,,,financial Risk,No,,No,,,,,,,,,
199,5. Healthcare context,Health insurance status,AHRF_MARKET_ENROL_400,"Total number of Marketplace enrollees, household income >300% to 400% of FPL",118,No,,,financial Risk,No,,No,,,,,,,,,
200,5. Healthcare context,Characteristics of health care facilities,AHRF_MCR_BN_READM_RATE,"Total number of Medicare beneficiary hospital readmission rate, fee for service",5,No,,,financial Risk,No,,No,,,,,,,,,
201,5. Healthcare context,Characteristics of health care facilities,AHRF_OPRT_ROOM_RATE,"Total number of operating rooms in short-term general hospitals per 1,000 population",36,No,,,Transportation Risk,No,,No,,,,,,,,,
202,5. Healthcare context,Utilization and costs,AHRF_OP_VST_LT_ER_OP_RATE,"Total number of outpatient visits in long-term hospital emergency departments per 1,000 population",3,No,,,financial Risk,No,,No,,,,,,,,,
203,5. Healthcare context,Utilization and costs,AHRF_OP_VST_ST_G_ER_OP_RATE,"Total number of outpatient visits in short-term general hospital emergency department and other outpatient visits per 1,000 population",3,No,,,financial Risk,No,,No,,,,,,,,,
204,5. Healthcare context,Utilization and costs,AHRF_OP_VST_ST_G_OTHR_RATE,"Total number of outpatient visits in other short-term general hospitals per 1,000 population",3,No,,,financial Risk,No,,No,,,,,,,,,
205,4. Physical Infrastructure,Environment,AHRF_PCT_GOOD_AQ,Percentage of days with good air quality,105,No,,,Climate Risk,No,,No,,,,,,,,,
206,5. Healthcare context,Health insurance status,AHRF_PCT_PRESC_PEN,Percentage of Medicare eligible beneficiaries enrolled in a prescription drug plan per 100 population,5,No,,,financial Risk,No,,No,,,,,,,,,
207,5. Healthcare context,Health insurance status,AHRF_PRESC_ENROLLMENT,Total number of Medicare prescription drug plan enrollees,5,No,,,financial Risk,No,,No,,,,,,,,,
208,5. Healthcare context,Utilization and costs,AHRF_PREV_HOSP_RATE,Preventable hospital stays rate,14,No,,,Transportation Risk,No,,No,,,,,,,,,
209,5. Healthcare context,Characteristics of health care facilities,AHRF_ST_COMM_HOSP_RATE,"Total number of short-term community hospitals per 1,000 population",36,No,,,Transportation Risk,No,,No,,,,,,,,,
210,5. Healthcare context,Characteristics of health care facilities,AHRF_ST_G_HOSP_RATE,"Total number of short-term general hospitals per 1,000 population",36,No,,,Transportation Risk,No,,No,,,,,,,,,
211,5. Healthcare context,Characteristics of health care facilities,AHRF_ST_N_G_HOSP_RATE,"Total number of short-term non-general hospitals per 1,000 population",36,No,,,Transportation Risk,No,,No,,,,,,,,,
212,5. Healthcare context,Characteristics of health care facilities,AHRF_TOT_CARDIAC_IC_HOSP,Total number of short-term general hospitals with cardiac intensive care,36,No,,,Transportation Risk,No,,No,,,,,,,,,
213,5. Healthcare context,Characteristics of health care facilities,AHRF_TOT_ER_VST_ST_G_HOSP,Total number of emergency department visits in short-term general hospitals,3,No,,,financial Risk,No,,No,,,,,,,,,
214,5. Healthcare context,Characteristics of health care facilities,AHRF_TOT_HOSPS,Total number of hospitals,9,No,,,Social Environmental Risk,No,,No,,,,,,,,,
215,5. Healthcare context,Characteristics of health care facilities,AHRF_TOT_HOSPS,Total number of hospitals,9,No,,,Transportation Risk,No,,No,,,,,,,,,
216,5. Healthcare context,Characteristics of health care facilities,AHRF_TOT_HOSP_MOBILE,Total number of hospitals with mobile health services,9,No,,,Social Environmental Risk,No,,No,,,,,,,,,
217,5. Healthcare context,Characteristics of health care facilities,AHRF_TOT_HOSP_MOBILE,Total number of hospitals with mobile health services,9,No,,,Transportation Risk,No,,No,,,,,,,,,
218,5. Healthcare context,Utilization and costs,AHRF_TOT_MCR_BN_READM,"Total number of Medicare beneficiary acute hospital readmissions, fee for service",5,No,,,financial Risk,No,,No,,,,,,,,,
219,5. Healthcare context,Utilization and costs,AHRF_TOT_MCR_IP_DAY_ST_G,"Total Medicare inpatient days, short-term general hospitals",3,No,,,financial Risk,No,,No,,,,,,,,,
220,5. Healthcare context,Utilization and costs,AHRF_TOT_MDCD_IP_DAY_ST_G,"Total Medicaid inpatient days, short-term general hospitals",3,No,,,financial Risk,No,,No,,,,,,,,,
221,5. Healthcare context,Utilization and costs,AHRF_TOT_MDCR_FFS_ACT_COST,"Total actual Medicare costs, fee for service (dollars)",149,No,,,financial Risk,No,,No,,,,,,,,,
222,5. Healthcare context,Utilization and costs,AHRF_TOT_MDCR_FFS_STD_COST,"Total standardized Medicare costs, fee for service (dollars)",149,No,,,financial Risk,No,,No,,,,,,,,,
223,5. Healthcare context,Characteristics of health care facilities,AHRF_TOT_OPRT_ROOM,Total number of operating rooms in short-term general hospitals,36,No,,,Transportation Risk,No,,No,,,,,,,,,
224,5. Healthcare context,Utilization and costs,AHRF_TOT_OUTPAT_VST_STNGH,Total number of outpatient visits in short-term non-general hospital emergency department and other outpatient visits,3,No,,,financial Risk,No,,No,,,,,,,,,
225,5. Healthcare context,Characteristics of health care facilities,AHRF_TOT_ST_COMM_HOSP,Total number of short-term community hospitals,36,No,,,Transportation Risk,No,,No,,,,,,,,,
226,5. Healthcare context,Characteristics of health care facilities,AHRF_TOT_ST_G_HOSP,Total number of short-term general hospitals,36,No,,,Transportation Risk,No,,No,,,,,,,,,
227,5. Healthcare context,Characteristics of health care facilities,AHRF_TOT_ST_N_G_HOSP,Total number of short-term non-general hospitals,36,No,,,Transportation Risk,No,,No,,,,,,,,,
228,4. Physical Infrastructure,Environment,AHRF_TXC_SITE_CNTRL,Total number of designated toxic sites under control,171,No,,,Social Environmental Risk,No,,No,,,,,,,,,
229,4. Physical Infrastructure,Environment,AHRF_TXC_SITE_NO_CNTRL,Total number of designated toxic sites not under control,171,No,,,Social Environmental Risk,No,,No,,,,,,,,,
230,4. Physical Infrastructure,Environment,AHRF_TXC_SITE_NO_DATA,Total number of designated toxic sites with insufficient data,171,No,,,Social Environmental Risk,No,,No,,,,,,,,,
231,5. Healthcare context,Characteristics of health care facilities,AMFAR_HCVTFAC_RATE,"Total number of substance abuse facilities offering hepatitis C screening per 1,000 population",104,No,,,Social Environmental Risk,No,,No,,,,,,,,,
232,5. Healthcare context,Characteristics of health care facilities,AMFAR_HIVHCVTFAC_RATE,"Total number of substance abuse facilities offering both HIV test and hepatitis C screening per 1,000 population",104,No,,,Social Environmental Risk,No,,No,,,,,,,,,
233,5. Healthcare context,Characteristics of health care facilities,AMFAR_HIVTFAC_RATE,"Total number of substance abuse facilities offering HIV testing per 1,000 population",106,No,,,Social Environmental Risk,No,,No,,,,,,,,,
234,5. Healthcare context,Characteristics of health care facilities,AMFAR_MEDAMATFAC_RATE,"Total number of substance abuse treatment facilities offering all three medication assisted treatment services that accept Medicaid per 1,000 population",23,No,,,Social Environmental Risk,No,,No,,,,,,,,,
235,5. Healthcare context,Characteristics of health care facilities,AMFAR_MEDHCVTFAC_RATE,"Total number of substance abuse facilities offering hepatitis C screening and accept Medicaid per 1,000 population",104,No,,,Social Environmental Risk,No,,No,,,,,,,,,
236,5. Healthcare context,Characteristics of health care facilities,AMFAR_MEDHIVHCVTFAC_RATE,"Total number of substance abuse facilities offering both HIV test and hepatitis C screening and accept Medicaid per 1,000 population",104,No,,,Social Environmental Risk,No,,No,,,,,,,,,
237,5. Healthcare context,Characteristics of health care facilities,AMFAR_MEDHIVTFAC_RATE,"Total number of substance abuse facilities offering HIV testing and accept Medicaid per 1,000 population",106,No,,,Social Environmental Risk,No,,No,,,,,,,,,
238,5. Healthcare context,Characteristics of health care facilities,AMFAR_MEDMHFAC_RATE,"Total number of facilities that provide mental health services and accept Medicaid per 1,000 population",72,No,,,Social Environmental Risk,No,,No,,,,,,,,,
239,5. Healthcare context,Characteristics of health care facilities,AMFAR_MEDMHFAC_RATE,"Total number of facilities that provide mental health services and accept Medicaid per 1,000 population",72,No,,,financial Risk,No,,No,,,,,,,,,
240,5. Healthcare context,Characteristics of health care facilities,AMFAR_MEDSAFAC_RATE,"Total number of substance abuse services facilities accepting Medicaid per 1,000 population",23,No,,,Social Environmental Risk,No,,No,,,,,,,,,
241,5. Healthcare context,Characteristics of health care facilities,AMFAR_MHFAC_RATE,"Total number of facilities that provide mental health services per 1,000 population",72,No,,,Social Environmental Risk,No,,No,,,,,,,,,
242,5. Healthcare context,Characteristics of health care facilities,AMFAR_MHFAC_RATE,"Total number of facilities that provide mental health services per 1,000 population",72,No,,,financial Risk,No,,No,,,,,,,,,
243,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_AMATFAC,Total number of substance abuse treatment facilities with all three medication assisted treatment services,23,No,,,Social Environmental Risk,No,,No,,,,,,,,,
244,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_HCVTFAC,Total number of substance abuse facilities offering hepatitis C screening,104,No,,,Social Environmental Risk,No,,No,,,,,,,,,
245,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_HIVHCVTFAC,Total number of substance abuse facilities offering both HIV test and hepatitis C screening,104,No,,,Social Environmental Risk,No,,No,,,,,,,,,
246,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_HIVTFAC,Total number of substance abuse facilities offering HIV testing,106,No,,,Social Environmental Risk,No,,No,,,,,,,,,
247,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_MEDAMATFAC,Total number of substance abuse treatment facilities offering all three medication assisted treatment services that accept Medicaid,23,No,,,Social Environmental Risk,No,,No,,,,,,,,,
248,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_MEDHCVTFAC,Total number of substance abuse facilities offering hepatitis C screening and accept Medicaid,104,No,,,Social Environmental Risk,No,,No,,,,,,,,,
249,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_MEDHIVHCVTFAC,Total number of substance abuse facilities offering both HIV test and hepatitis C screening and accept Medicaid,104,No,,,Social Environmental Risk,No,,No,,,,,,,,,
250,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_MEDHIVTFAC,Total number of substance abuse facilities offering HIV testing and accept Medicaid,106,No,,,Social Environmental Risk,No,,No,,,,,,,,,
251,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_MEDMHFAC,Total number of facilities that provide mental health services and accept Medicaid,72,No,,,Social Environmental Risk,No,,No,,,,,,,,,
252,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_MEDMHFAC,Total number of facilities that provide mental health services and accept Medicaid,72,No,,,financial Risk,No,,No,,,,,,,,,
253,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_MEDSAFAC,Total number of substance abuse services facilities accepting Medicaid,23,No,,,Social Environmental Risk,No,,No,,,,,,,,,
254,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_MHFAC,Total number of facilities that provide mental health services,72,No,,,Social Environmental Risk,No,,No,,,,,,,,,
255,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_MHFAC,Total number of facilities that provide mental health services,72,No,,,financial Risk,No,,No,,,,,,,,,
256,4. Physical infrastructure,Food Access,CCBP_CFS_RATE,"Total number of community food services per 1,000 people",26,No,,,Food Security,No,,No,,,,,,,,,
257,4. Physical infrastructure,Housing,CCBP_CHS_RATE,"Total number of community housing services per 1,000 people",46,No,,,Housing Challenges,No,,No,,,,,,,,,
258,4. Physical infrastructure,Food Access,CCBP_CS_RATE,"Total number of convenience stores per 1,000 people",122,No,,,Food Security,No,,No,,,,,,,,,
259,4. Physical infrastructure,Social services,CCBP_EORS_RATE,"Total number of emergency and other relief services per 1,000 people",0,No,,,Transportation Risk,No,,No,,,,,,,,,
260,4. Physical infrastructure,Access to Exercise,CCBP_FCRSC_RATE,"Total number of fitness centers and recreational sports centers per 1,000 people",188,No,,,Lifestyle,No,,No,,,,,,,,,
261,4. Physical infrastructure,Food Access,CCBP_FF_RATE,"Total number of limited service restaurants (fast food establishments) per 1,000 people",26,No,,,Food Security,No,,No,,,,,,,,,
262,4. Physical infrastructure,Food Access,CCBP_FSR_RATE,"Total number of full service restaurants per 1,000 people",26,No,,,Food Security,No,,No,,,,,,,,,
263,4. Physical infrastructure,Industry composition,CCBP_PCT_HEALTH_EMPLOYMENT,Percentage of employment attributed to health care,13,No,,,financial Risk,No,,No,,,,,,,,,
264,4. Physical infrastructure,Social services,CCBP_SA_RATE,"Total number of social associations per 1,000 people",33,No,,,Social Environmental Risk,No,,No,,,,,,,,,
265,4. Physical infrastructure,Food Access,CCBP_SFS_RATE,"Total number of specialized food stores per 1,000 people",122,No,,,Food Security,No,,No,,,,,,,,,
266,4. Physical infrastructure,Food Access,CCBP_SOGS_RATE,"Total number of supermarkets and other grocery (except convenience) stores per 1,000 people",122,No,,,Food Security,No,,No,,,,,,,,,
267,4. Physical infrastructure,Food Access,CCBP_TOT_CFS,Total number of community food services,26,No,,,Food Security,No,,No,,,,,,,,,
268,4. Physical infrastructure,Housing,CCBP_TOT_CHS,Total number of community housing services,46,No,,,Housing Challenges,No,,No,,,,,,,,,
269,4. Physical infrastructure,Food Access,CCBP_TOT_CS,Total number of convenience stores,122,No,,,Food Security,No,,No,,,,,,,,,
270,4. Physical infrastructure,Social services,CCBP_TOT_EORS,Total number of emergency and other relief services,0,No,,,Transportation Risk,No,,No,,,,,,,,,
271,4. Physical infrastructure,Access to Exercise,CCBP_TOT_FCRSC,Total number of fitness centers and recreational sports centers,188,No,,,Lifestyle,No,,No,,,,,,,,,
272,4. Physical infrastructure,Food Access,CCBP_TOT_FF,Total number of limited service restaurants (fast food establishments),26,No,,,Food Security,No,,No,,,,,,,,,
273,4. Physical infrastructure,Food Access,CCBP_TOT_FSR,Total number of full service restaurants,26,No,,,Food Security,No,,No,,,,,,,,,
274,4. Physical infrastructure,Social services,CCBP_TOT_SA,Total number of social associations,33,No,,,Social Environmental Risk,No,,No,,,,,,,,,
275,4. Physical infrastructure,Food Access,CCBP_TOT_SFS,Total number of specialized food stores,122,No,,,Food Security,No,,No,,,,,,,,,
276,4. Physical infrastructure,Food Access,CCBP_TOT_SOGS,Total number of supermarkets and other grocery (except convenience) stores,122,No,,,Food Security,No,,No,,,,,,,,,
277,3. Education,School System,CCD_TOT_STUDENTS,Total enrollment,18,No,,,Educational Challenges,No,,No,,,,,,,,,
278,5. Healthcare context,Health outcomes,CDCAP_CHLAMYDIA_RATE,"Total number of confirmed chlamydia diagnoses per 100,000 population",87,No,,,Disease Risk,No,,No,,,,,,,,,
279,5. Healthcare context,Health outcomes,CDCAP_GONORRHEA_RATE,"Total number of confirmed gonorrhea diagnoses per 100,000 population",87,No,,,Disease Risk,No,,No,,,,,,,,,
280,5. Healthcare context,Health outcomes,CDCAP_HIVDIAG_AIAN_RATE_ABOVE13,"Total number of people living with diagnosed HIV at the end of the year per 100,000, American Indian and Alaska Native (ages 13 and over)",151,No,,,Disease Risk,No,,Yes,1.0,,,,,,,,1.0
281,5. Healthcare context,Health outcomes,CDCAP_HIVDIAG_ASN_RATE_ABOVE13,"Total number of people living with diagnosed HIV at the end of the year per 100,000, Asian (ages 13 and over)",151,No,,,Disease Risk,No,,Yes,,1.0,,,,,,,1.0
282,5. Healthcare context,Health outcomes,CDCAP_HIVDIAG_BLK_RATE_ABOVE13,"Total number of people living with diagnosed HIV at the end of the year per 100,000, Black non-Hispanic (ages 13 and over)",151,No,,,Disease Risk,No,,Yes,,,1.0,1.0,,,,,2.0
283,5. Healthcare context,Health outcomes,CDCAP_HIVDIAG_F_RATE_ABOVE13,"Total number of females living with diagnosed HIV at the end of the year per 100,000 (ages 13 and over)",151,No,,,Disease Risk,Yes,0.0,No,,,,,,,,,
284,5. Healthcare context,Health outcomes,CDCAP_HIVDIAG_HIS_RATE_ABOVE13,"Total number of people living with diagnosed HIV at the end of the year per 100,000, Hispanic (ages 13 and over)",151,No,,,Disease Risk,No,,Yes,,,,1.0,,,,,1.0
285,5. Healthcare context,Health outcomes,CDCAP_HIVDIAG_MTR_RATE_ABOVE13,"Total number of people living with diagnosed HIV at the end of the year per 100,000, multiple races (ages 13 and over)",151,No,,,Disease Risk,No,,No,,,,,,,,,
286,5. Healthcare context,Health outcomes,CDCAP_HIVDIAG_M_RATE_ABOVE13,"Total number of males living with diagnosed HIV at the end of the year per 100,000 (ages 13 and over)",151,No,,,Disease Risk,Yes,1.0,No,,,,,,,,,
287,5. Healthcare context,Health outcomes,CDCAP_HIVDIAG_NHPI_RATE_ABOVE13,"Total number of people living with diagnosed HIV at the end of the year per 100,000, Native Hawaiian and Other Pacific Islander (ages 13 and over)",151,No,,,Disease Risk,No,,No,,,,,,,,,
288,5. Healthcare context,Health outcomes,CDCAP_HIVDIAG_RATE_ABOVE13,"Total number of people living with diagnosed HIV at the end of the year per 100,000 population (ages 13 and over)",151,No,,,Disease Risk,No,,No,,,,,,,,,
289,5. Healthcare context,Health outcomes,CDCAP_HIVDIAG_WHT_RATE_ABOVE13,"Total number of people living with diagnosed HIV at the end of the year per 100,000, White non-Hispanic (ages 13 and over)",151,No,,,Disease Risk,No,,No,,,,,,,,,
290,5. Healthcare context,Health outcomes,CDCAP_HIV_RATE_ABOVE13,"Total number of persons with HIV diagnosed during the year per 100,000 population (ages 13 and over)",151,No,,,Disease Risk,No,,No,,,,,,,,,
291,5. Healthcare context,Health outcomes,CDCAP_SYPHILIS_RATE,"Total number of confirmed primary and secondary syphilis diagnoses per 100,000 population",87,No,,,Disease Risk,No,,No,,,,,,,,,
292,5. Healthcare context,Health outcomes,CDCAP_TUBERCULOSIS_RATE,"Total number of tuberculosis diagnoses per 100,000 population",87,No,,,Disease Risk,No,,No,,,,,,,,,
293,5. Healthcare context,Health outcomes,CDCA_BLOOD_HOSP_RATE_ABOVE65,"Total high blood pressure hospitalizations per 1,000 Medicare beneficiaries (ages 65 and over)",156,No,,,Disease Risk,No,,No,,,,,,,,,
294,5. Healthcare context,Health outcomes,CDCA_BLOOD_HOSP_RATE_ABOVE65,"Total high blood pressure hospitalizations per 1,000 Medicare beneficiaries (ages 65 and over)",156,No,,,financial Risk,No,,No,,,,,,,,,
295,5. Healthcare context,Health outcomes,CDCA_HEART_HOSP_RATE_ABOVE65,"Total cardiovascular disease hospitalizations per 1,000 Medicare beneficiaries (ages 65 and over)",156,No,,,Disease Risk,No,,No,,,,,,,,,
296,5. Healthcare context,Health outcomes,CDCA_HEART_HOSP_RATE_ABOVE65,"Total cardiovascular disease hospitalizations per 1,000 Medicare beneficiaries (ages 65 and over)",156,No,,,financial Risk,No,,No,,,,,,,,,
297,5. Healthcare context,Health outcomes,CDCA_PREV_DTH_BLACK_RATE_BELOW74,"Total avoidable heart disease and stroke deaths per 100,000 Black non-Hispanic population (ages 74 and below)",101,No,,,Disease Risk,No,,Yes,,,1.0,1.0,,,,,2.0
298,5. Healthcare context,Health outcomes,CDCA_PREV_DTH_HISP_RATE_BELOW74,"Total avoidable heart disease and stroke deaths per 100,000 Hispanic population (ages 74 and below)",101,No,,,Disease Risk,No,,Yes,,,,1.0,,,,,1.0
299,5. Healthcare context,Health outcomes,CDCA_PREV_DTH_WHITE_RATE_BELOW74,"Total avoidable heart disease and stroke deaths per 100,000 White non-Hispanic population (ages 74 and below)",101,No,,,Disease Risk,No,,Yes,,,,1.0,,,1.0,,2.0
300,5. Healthcare context,Health outcomes,CDCA_STROKE_HOSP_RATE_ABOVE65,"Total stroke hospitalizations per 1,000 Medicare beneficiaries (ages 65 and over)",156,No,,,Disease Risk,No,,No,,,,,,,,,
301,5. Healthcare context,Health outcomes,CDCA_STROKE_HOSP_RATE_ABOVE65,"Total stroke hospitalizations per 1,000 Medicare beneficiaries (ages 65 and over)",156,No,,,financial Risk,No,,No,,,,,,,,,
302,5. Healthcare context,Health Outcomes,CDCP_ARTHRITIS_ADULT_C,Crude prevalence of arthritis among adults aged 18 years and older (%),196,No,,,Disease Risk,No,,No,,,,,,,,,
